diagnosis,recommended_drugs
Suspected Primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
Nicotine dependence - agitated behavior,"Varenicline, Bupropion, Nicotine patch"
"Bipolar I disorder, manic episode - poor sleep quality","Lithium, Valproate, Quetiapine"
"narcolepsy, patient stable","Modafinil, Armodafinil, Sodium oxybate"
"alcohol withdrawal syndrome, resistant to therapy","Chlordiazepoxide, Diazepam, Lorazepam"
Agoraphobia - resistant to therapy,"Paroxetine, Sertraline, Fluoxetine"
"Mild Bipolar I disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
high risk of tourette's disorder,"Haloperidol, Pimozide, Clonidine"
Persistent depressive disorder (Dysthymia) - compliant with meds,"Citalopram, Sertraline, Mirtazapine"
confirmed autism spectrum disorder (irritability),"Risperidone, Aripiprazole, Guanfacine"
History of Obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
Acute exacerbation of Alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
severe anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
Seasonal affective disorder - resistant to therapy,"Bupropion, Fluoxetine, Sertraline"
mild primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
Post-traumatic stress,"Sertraline, Paroxetine, Prazosin"
"generalized anxiety disorder, cognitive decline","Sertraline, Buspirone, Venlafaxine"
High risk of Social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
"bipolar ii disorder, cognitive decline","Lamotrigine, Lithium, Quetiapine"
Generalized anxiety disorder - high anxiety levels,"Sertraline, Buspirone, Venlafaxine"
Assessment: Panic disorder,"Alprazolam, Clonazepam, Paroxetine"
suspected adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
"alcohol dependence, compliant with meds","Naltrexone, Acamprosate, Disulfiram"
"Bipolar I disorder, depressed episode - requires hospitalization","Lurasidone, Quetiapine, Lamotrigine"
patient presents with post-traumatic stress disorder (ptsd),"Sertraline, Paroxetine, Prazosin"
Cyclothymic disorder - patient stable,"Valproate, Lithium, Lamotrigine"
Attention-deficit hyperactivity disorder (ADHD),"Methylphenidate, Amphetamine, Atomoxetine"
Social anxiety disorder - needs dosage adjustment,"Sertraline, Propranolol, Venlafaxine"
Borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
assessment: borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
Binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
Confirmed Panic disorder,"Alprazolam, Clonazepam, Paroxetine"
"restless legs syndrome, worsening symptoms","Pramipexole, Ropinirole, Gabapentin"
nervousness or,"Hydroxyzine, Buspirone, Propranolol"
confirmed acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
Hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
chronic alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
"high risk of major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
"brief psychotic disorder, needs dosage adjustment","Haloperidol, Risperidone, Olanzapine"
"major depressive disorder, single episode, agitated behavior","Sertraline, Fluoxetine, Escitalopram"
"obsessive-compulsive disorder, resistant to therapy","Fluvoxamine, Clomipramine, Fluoxetine"
Acute exacerbation of Alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
Suspected Bipolar II disorder,"Lamotrigine, Lithium, Quetiapine"
bipolar i,"Lithium, Valproate, Quetiapine"
Restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
Panic disorder - cognitive decline,"Alprazolam, Clonazepam, Paroxetine"
Schizoaffective disorder - poor sleep quality,"Paliperidone, Clozapine, Haloperidol"
chronic nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
Borderline personality disorder - needs dosage adjustment,"Lamotrigine, Aripiprazole, Fluoxetine"
patient presents with schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
"nicotine dependence, poor sleep quality","Varenicline, Bupropion, Nicotine patch"
"schizotypal personality disorder, mood swings reported","Risperidone, Olanzapine, Haloperidol"
"severe bipolar i disorder, manic episode","Lithium, Valproate, Quetiapine"
Brief psychotic disorder - patient stable,"Haloperidol, Risperidone, Olanzapine"
"social anxiety disorder, compliant with meds","Sertraline, Propranolol, Venlafaxine"
"schizoaffective disorder, worsening symptoms","Paliperidone, Clozapine, Haloperidol"
Restless legs syndrome - suicidal ideation present,"Pramipexole, Ropinirole, Gabapentin"
high risk of persistent depressive disorder (dysthymia),"Citalopram, Sertraline, Mirtazapine"
Schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
"seasonal affective disorder, mood swings reported","Bupropion, Fluoxetine, Sertraline"
Attention-deficit hyperactivity disorder (ADHD) - requires hospitalization,"Methylphenidate, Amphetamine, Atomoxetine"
"post-traumatic stress disorder (ptsd), compliant with meds","Sertraline, Paroxetine, Prazosin"
suspected agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
high risk of tourette's disorder,"Haloperidol, Pimozide, Clonidine"
"restless legs syndrome, first psychotic episode","Pramipexole, Ropinirole, Gabapentin"
"binge-eating disorder, requires hospitalization","Lisdexamfetamine, Topiramate, Fluoxetine"
Suspected Borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
"Confirmed Bipolar I disorder, manic episode","Lithium, Valproate, Quetiapine"
adjustment disorder,"Escitalopram, Sertraline, Bupropion"
post-traumatic stress disorder (ptsd),"Sertraline, Paroxetine, Prazosin"
Chronic Alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
"Acute exacerbation of Major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
Obsessive-compulsive disorder - worsening symptoms,"Fluvoxamine, Clomipramine, Fluoxetine"
Patient presents with Schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
Anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
"obsessive-compulsive disorder, outpatient follow-up","Fluvoxamine, Clomipramine, Fluoxetine"
History of Body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
"Bipolar I disorder, depressed episode - high anxiety levels","Lurasidone, Quetiapine, Lamotrigine"
Hoarding disorder - resistant to therapy,"Venlafaxine, Paroxetine, Sertraline"
"confirmed bipolar i disorder, manic episode","Lithium, Valproate, Quetiapine"
"mild schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
Chronic Hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
"tourette's disorder, first psychotic episode","Haloperidol, Pimozide, Clonidine"
"body dysmorphic disorder, first psychotic episode","Sertraline, Fluoxetine, Escitalopram"
Acute stress disorder - resistant to therapy,"Clonazepam, Propranolol, Hydroxyzine"
Confirmed Alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
"Major depressive disorder, recurrent - needs dosage adjustment","Venlafaxine, Duloxetine, Bupropion"
High risk of Primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
Body dysmorphic disorder - suicidal ideation present,"Sertraline, Fluoxetine, Escitalopram"
"anorexia nervosa, cognitive decline","Olanzapine, Fluoxetine, Mirtazapine"
"Schizophrenia, unspecified - first psychotic episode","Risperidone, Olanzapine, Aripiprazole"
hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
attention-deficit hyperactivity,"Methylphenidate, Amphetamine, Atomoxetine"
major depressive,"Sertraline, Fluoxetine, Escitalopram"
"bulimia nervosa, suicidal ideation present","Fluoxetine, Topiramate, Sertraline"
Narcolepsy - poor sleep quality,"Modafinil, Armodafinil, Sodium oxybate"
"Major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
Agoraphobia - compliant with meds,"Paroxetine, Sertraline, Fluoxetine"
"schizophrenia, unspecified, patient stable","Risperidone, Olanzapine, Aripiprazole"
Acute exacerbation of Attention-deficit hyperactivity disorder (ADHD),"Methylphenidate, Amphetamine, Atomoxetine"
history of bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
Severe Opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
Body dysmorphic disorder - mood swings reported,"Sertraline, Fluoxetine, Escitalopram"
"Bipolar I disorder, manic episode - outpatient follow-up","Lithium, Valproate, Quetiapine"
high risk of alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
Opioid dependence - experiencing hallucinations,"Buprenorphine, Naltrexone, Methadone"
History of Agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
severe borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
Severe Nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
high risk of post-traumatic stress disorder (ptsd),"Sertraline, Paroxetine, Prazosin"
Bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
"hoarding disorder, compliant with meds","Venlafaxine, Paroxetine, Sertraline"
chronic binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
severe body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
Patient presents with Delusional disorder,"Aripiprazole, Risperidone, Pimozide"
suspected alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
dsm-5 diagnosis: primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
"Major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
"binge-eating disorder, patient stable","Lisdexamfetamine, Topiramate, Fluoxetine"
Attention-deficit hyperactivity disorder (ADHD) - suicidal ideation present,"Methylphenidate, Amphetamine, Atomoxetine"
High risk of Anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
suspected attention-deficit hyperactivity disorder (adhd),"Methylphenidate, Amphetamine, Atomoxetine"
Restless legs,"Pramipexole, Ropinirole, Gabapentin"
Cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
Social anxiety disorder - poor sleep quality,"Sertraline, Propranolol, Venlafaxine"
patient presents with restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
"seasonal affective disorder, compliant with meds","Bupropion, Fluoxetine, Sertraline"
"Chronic Bipolar I disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
"borderline personality disorder, poor sleep quality","Lamotrigine, Aripiprazole, Fluoxetine"
Social anxiety disorder - high anxiety levels,"Sertraline, Propranolol, Venlafaxine"
assessment: social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
Cyclothymic disorder - suicidal ideation present,"Valproate, Lithium, Lamotrigine"
chronic nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
Attention-deficit hyperactivity disorder (ADHD) - suicidal ideation present,"Methylphenidate, Amphetamine, Atomoxetine"
Schizotypal personality disorder - experiencing hallucinations,"Risperidone, Olanzapine, Haloperidol"
Anorexia nervosa - cognitive decline,"Olanzapine, Fluoxetine, Mirtazapine"
"schizophrenia, unspecified, compliant with meds","Risperidone, Olanzapine, Aripiprazole"
"nicotine dependence, compliant with meds","Varenicline, Bupropion, Nicotine patch"
"opioid dependence, experiencing hallucinations","Buprenorphine, Naltrexone, Methadone"
patient presents with seasonal affective disorder,"Bupropion, Fluoxetine, Sertraline"
chronic alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
History of Autism spectrum disorder (irritability),"Risperidone, Aripiprazole, Guanfacine"
"social anxiety disorder, experiencing hallucinations","Sertraline, Propranolol, Venlafaxine"
Assessment: Cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
Borderline personality disorder - high anxiety levels,"Lamotrigine, Aripiprazole, Fluoxetine"
"assessment: bipolar i disorder, manic episode","Lithium, Valproate, Quetiapine"
"Assessment: Major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
autism spectrum disorder (irritability),"Risperidone, Aripiprazole, Guanfacine"
"Bipolar I disorder, manic episode - high anxiety levels","Lithium, Valproate, Quetiapine"
Mild Persistent depressive disorder (Dysthymia),"Citalopram, Sertraline, Mirtazapine"
Delusional disorder,"Aripiprazole, Risperidone, Pimozide"
Seasonal affective disorder - first psychotic episode,"Bupropion, Fluoxetine, Sertraline"
History of Alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
Severe Nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
"obsessive-compulsive disorder, suicidal ideation present","Fluvoxamine, Clomipramine, Fluoxetine"
"schizoaffective disorder, suicidal ideation present","Paliperidone, Clozapine, Haloperidol"
confirmed seasonal affective disorder,"Bupropion, Fluoxetine, Sertraline"
Nervousness or severe stress - requires hospitalization,"Hydroxyzine, Buspirone, Propranolol"
Patient presents with Generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
Body dysmorphic,"Sertraline, Fluoxetine, Escitalopram"
Brief psychotic disorder - mood swings reported,"Haloperidol, Risperidone, Olanzapine"
Acute exacerbation of Autism spectrum disorder (irritability),"Risperidone, Aripiprazole, Guanfacine"
"hoarding disorder, outpatient follow-up","Venlafaxine, Paroxetine, Sertraline"
Bulimia nervosa - needs dosage adjustment,"Fluoxetine, Topiramate, Sertraline"
Delusional disorder,"Aripiprazole, Risperidone, Pimozide"
"borderline personality disorder, patient stable","Lamotrigine, Aripiprazole, Fluoxetine"
"Mild Schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
suspected restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
Chronic Bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
"delusional disorder, requires hospitalization","Aripiprazole, Risperidone, Pimozide"
Acute exacerbation of Restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
Post-traumatic stress disorder (PTSD) - mood swings reported,"Sertraline, Paroxetine, Prazosin"
Binge-eating disorder - high anxiety levels,"Lisdexamfetamine, Topiramate, Fluoxetine"
"persistent depressive disorder (dysthymia), patient stable","Citalopram, Sertraline, Mirtazapine"
"opioid dependence, cognitive decline","Buprenorphine, Naltrexone, Methadone"
Borderline personality disorder - high anxiety levels,"Lamotrigine, Aripiprazole, Fluoxetine"
severe seasonal affective disorder,"Bupropion, Fluoxetine, Sertraline"
major depressive,"Venlafaxine, Duloxetine, Bupropion"
"bipolar i disorder, depressed episode, first psychotic episode","Lurasidone, Quetiapine, Lamotrigine"
"Schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
Persistent depressive disorder (Dysthymia) - agitated behavior,"Citalopram, Sertraline, Mirtazapine"
chronic generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
Severe Anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
Alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
Tourette's disorder - suicidal ideation present,"Haloperidol, Pimozide, Clonidine"
"delusional disorder, cognitive decline","Aripiprazole, Risperidone, Pimozide"
"body dysmorphic disorder, experiencing hallucinations","Sertraline, Fluoxetine, Escitalopram"
Bipolar II disorder - suicidal ideation present,"Lamotrigine, Lithium, Quetiapine"
"body dysmorphic disorder, outpatient follow-up","Sertraline, Fluoxetine, Escitalopram"
Mild Alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
Binge-eating disorder - requires hospitalization,"Lisdexamfetamine, Topiramate, Fluoxetine"
Agoraphobia - compliant with meds,"Paroxetine, Sertraline, Fluoxetine"
Bulimia nervosa - resistant to therapy,"Fluoxetine, Topiramate, Sertraline"
"Suspected Bipolar I disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
Suspected Restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
"opioid dependence, outpatient follow-up","Buprenorphine, Naltrexone, Methadone"
acute exacerbation of bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
"hoarding disorder, outpatient follow-up","Venlafaxine, Paroxetine, Sertraline"
Alcohol withdrawal syndrome - requires hospitalization,"Chlordiazepoxide, Diazepam, Lorazepam"
Cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
Bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
"cyclothymic disorder, suicidal ideation present","Valproate, Lithium, Lamotrigine"
severe delusional disorder,"Aripiprazole, Risperidone, Pimozide"
