diagnosis,severity
"I46.9: Cardiac arrest, cause unspecified (severe trauma protocol active)",HIGH
"Psoriasis vulgaris - chronic condition, ongoing treatment",MEDIUM
"Conjunctivitis, unspecified - routine exam",LOW
"Mild symptoms, no complications due to Acute upper respiratory infection, unspecified",LOW
"history of ulcerative colitis, unspecified",MEDIUM
"confirmed case of iron deficiency anemia, unspecified",LOW
Needs specialist referral due to Benign prostatic hyperplasia without obstruction,MEDIUM
R45.0 - Nervousness,LOW
calculus of gallbladder without obstruction,MEDIUM
"Malignant neoplasm of prostate - acute emergency, rapid response",HIGH
"Vitamin E deficiency - minor condition, follow-up in 2 weeks",LOW
"Stable but requires medication adjustment due to Dyslipidemia, unspecified",MEDIUM
Ingrowing nail,LOW
paroxysmal atrial problem,MEDIUM
"Moderate symptoms, requires monitoring due to Chronic kidney disease, stage 3",MEDIUM
"Bacterial infection, unspecified (severe) - critical condition, ICU admission",HIGH
Generalized anxiety disorder,MEDIUM
"Crohn disease, unspecified - stable but requires medication adjustment",MEDIUM
Follow-up required in 1 week due to Type 2 diabetes mellitus without complications,MEDIUM
"Severe presentation, urgent care needed due to Acute respiratory distress syndrome",HIGH
"Constipation, unspecified - mild symptoms, no complications",LOW
"Acute upper respiratory infection, unspecified - no acute distress",LOW
diverticulosis of large intestine,MEDIUM
Parkinson disease - follow-up required in 1 week,MEDIUM
"Malignant neoplasm of prostate - severe presentation, urgent care needed",HIGH
"Pneumonia, unspecified organism",MEDIUM
Nervousness - routine exam,LOW
"Mild symptoms, no complications due to Allergy, unspecified",LOW
"J43.9: Emphysema, unspecified (severe presentation, urgent care needed)",HIGH
Severe trauma protocol active due to Type 1 diabetes with ketoacidosis,HIGH
Liver cell carcinoma,HIGH
Gastro-esophageal reflux with esophagitis,MEDIUM
Patient presents with Superficial injury of unspecified body region,LOW
Patient presents with Dysuria,LOW
"Suspected Gastritis, unspecified",LOW
Slight discomfort reported due to Dysuria,LOW
"Critical condition, icu admission due to Acute respiratory failure, unspecified",HIGH
"rheumatoid arthritis, unspecified",MEDIUM
"Sepsis, unspecified organism",HIGH
"Flare-up event due to Ulcerative colitis, unspecified",MEDIUM
"abdominal aortic aneurysm, ruptured",HIGH
G20: Parkinson disease (recurring symptoms),MEDIUM
"Uncomfortable episode, managing with meds due to Chronic kidney disease, stage 3",MEDIUM
"No acute distress due to Dental caries, unspecified",LOW
Paroxysmal atrial fibrillation - follow-up required in 1 week,MEDIUM
"R45.0: Nervousness (patient stable, outpatient treatment)",LOW
Dysuria,LOW
"Fatal prognosis risk due to Intracranial injury, unspecified",HIGH
"confirmed case of viral wart, unspecified",LOW
"Life-threatening, immediate intervention due to Hydrocephalus, unspecified",HIGH
"Acute emergency, rapid response due to Unspecified cirrhosis of liver",HIGH
"confirmed case of acute tonsillitis, unspecified",LOW
"Minor pain, prescribed rest due to Allergic rhinitis due to pollen",LOW
Assessment: Chronic viral hepatitis C,MEDIUM
J00: Acute nasopharyngitis (common cold) (routine exam),LOW
major depressive problem,MEDIUM
"Ulcerative colitis, unspecified - flare-up event",MEDIUM
suspected end stage renal disease,HIGH
"bipolar disorder, unspecified",MEDIUM
"Psoriasis vulgaris - chronic condition, ongoing treatment",MEDIUM
confirmed case of contusion of finger,LOW
"Schizophrenia, unspecified - acute emergency, rapid response",HIGH
Human immunodeficiency virus (HIV) disease - fatal prognosis risk,HIGH
"Viral wart, unspecified - slight discomfort reported",LOW
"C50.919: Malignant neoplasm of unspecified site of breast (critical condition, ICU admission)",HIGH
"Acute myocardial infarction, unspecified",HIGH
"Hydrocephalus, unspecified - critical condition, ICU admission",HIGH
malignant melanoma problem,HIGH
"Advanced stage, palliative care discussed due to Sepsis, unspecified organism",HIGH
E11.9 - Type 2 diabetes mellitus without complications,MEDIUM
"K02.9: Dental caries, unspecified (minor pain, prescribed rest)",LOW
Confirmed case of Multiple sclerosis,HIGH
"Hypothyroidism, unspecified - chronic condition, ongoing treatment",MEDIUM
"Routine exam due to Conjunctivitis, unspecified",LOW
Disseminated intravascular coagulation - immediate surgery required,HIGH
"R45.0: Nervousness (minor condition, follow-up in 2 weeks)",LOW
Severe trauma protocol active due to Liver cell carcinoma,HIGH
E56.0 - Vitamin E deficiency,LOW
"L50.9: Urticaria, unspecified (routine exam)",LOW
"No acute distress due to Gastritis, unspecified",LOW
"No acute distress due to Impacted cerumen, unspecified ear",LOW
R10.9 Unspecified abdominal,LOW
Patient presents with Unspecified abdominal pain,LOW
"Hypothyroidism, unspecified - follow-up required in 1 week",MEDIUM
"Malignant neoplasm of brain, unspecified - fatal prognosis risk",HIGH
"Emphysema, unspecified - severe trauma protocol active",HIGH
"Malignant neoplasm of unspecified site of breast - severe presentation, urgent care needed",HIGH
E11.9: Type 2 diabetes mellitus without complications (follow-up required in 1 week),MEDIUM
"K29.70 - Gastritis, unspecified",LOW
"Malignant neoplasm of pancreas, unspecified",HIGH
"suspected thrombocytopenia, unspecified",MEDIUM
malignant melanoma problem,HIGH
acute respiratory problem,HIGH
C22.0 Liver cell,HIGH
"Minor pain, prescribed rest due to Low back pain",LOW
pain in unspecified joint,LOW
"C25.9: Malignant neoplasm of pancreas, unspecified (fatal prognosis risk)",HIGH
"Uncomfortable episode, managing with meds due to Epilepsy, unspecified, not intractable",MEDIUM
"Rheumatoid arthritis, unspecified - uncomfortable episode, managing with meds",MEDIUM
"bipolar disorder, unspecified",MEDIUM
Needs specialist referral due to Chronic viral hepatitis C,MEDIUM
"H10.9 - Conjunctivitis, unspecified",LOW
"Myalgia - minor condition, follow-up in 2 weeks",LOW
Assessment: Type 2 diabetes with hyperglycemia,HIGH
"Unspecified cirrhosis of liver - advanced stage, palliative care discussed",HIGH
"J30.1: Allergic rhinitis due to pollen (patient stable, outpatient treatment)",LOW
Assessment: Traumatic shock,HIGH
"Abdominal aortic aneurysm, ruptured - severe trauma protocol active",HIGH
"K51.90: Ulcerative colitis, unspecified (chronic condition, ongoing treatment)",MEDIUM
History of Atherosclerotic heart disease,MEDIUM
"Assessment: Acute pharyngitis, unspecified",LOW
"major depressive disorder, single episode, moderate",MEDIUM
assessment: acute and subacute hepatic failure,HIGH
I26.99 Pulmonary embolism,HIGH
"J18.9: Pneumonia, unspecified organism (chronic condition, ongoing treatment)",MEDIUM
"Unspecified abdominal pain - patient stable, outpatient treatment",LOW
M25.50 - Pain in unspecified joint,LOW
"Anemia, unspecified - stable but requires medication adjustment",MEDIUM
superficial injury of unspecified body region,LOW
"Slight discomfort reported due to Constipation, unspecified",LOW
"Acute emergency, rapid response due to Hydrocephalus, unspecified",HIGH
Multiple sclerosis,HIGH
"Fatal prognosis risk due to Heart failure, unspecified",HIGH
"K05.10: Chronic gingivitis (mild symptoms, no complications)",LOW
"Critical condition, icu admission due to Traumatic shock",HIGH
"C34.90: Malignant neoplasm of unspecified part of bronchus or lung (critical condition, ICU admission)",HIGH
Immediate surgery required due to Pulmonary embolism without acute cor pulmonale,HIGH
"Critical condition, icu admission due to Amyotrophic lateral sclerosis (ALS)",HIGH
M25.50: Pain in unspecified joint (routine exam),LOW
"Acute upper respiratory infection, unspecified - minor pain, prescribed rest",LOW
"Conjunctivitis, unspecified",LOW
Self-limiting condition due to Acne vulgaris,LOW
"hypothyroidism, unspecified",MEDIUM
L40.0 - Psoriasis vulgaris,MEDIUM
"Slight discomfort reported due to Otitis media, unspecified",LOW
"J45.20: Mild intermittent asthma, uncomplicated (follow-up required in 1 week)",MEDIUM
"Follow-up required in 1 week due to Acute bronchitis, unspecified",MEDIUM
G20: Parkinson disease (follow-up required in 1 week),MEDIUM
"Assessment: Pneumonia, unspecified organism",MEDIUM
"Pneumonia, unspecified organism - flare-up event",MEDIUM
"J03.90: Acute tonsillitis, unspecified (no acute distress)",LOW
"I73.9: Peripheral vascular disease, unspecified (stable but requires medication adjustment)",MEDIUM
History of Pain in unspecified joint,LOW
Patient presents with Liver cell carcinoma,HIGH
C22.0 - Liver cell carcinoma,HIGH
"Severe presentation, urgent care needed due to Disseminated intravascular coagulation",HIGH
M79.1 - Myalgia,LOW
"M54.5: Low back pain (minor condition, follow-up in 2 weeks)",LOW
"Suspected Viral wart, unspecified",LOW
"cardiac arrest, problem",HIGH
patient presents with unspecified cirrhosis of liver,HIGH
"patient presents with crohn disease, unspecified",MEDIUM
T14.0 - Superficial injury of unspecified body region,LOW
"Acute tonsillitis, unspecified - patient stable, outpatient treatment",LOW
Confirmed case of Acute leukemia of unspecified cell type,HIGH
"Slight discomfort reported due to Acute pharyngitis, unspecified",LOW
"Confirmed case of Bipolar disorder, unspecified",MEDIUM
"bacterial infection, unspecified (severe)",HIGH
"C18.9: Malignant neoplasm of colon, unspecified (acute emergency, rapid response)",HIGH
"Abdominal aortic aneurysm, ruptured - immediate surgery required",HIGH
J30.1: Allergic rhinitis due to pollen (no acute distress),LOW
I48.0 - Paroxysmal atrial fibrillation,MEDIUM
N39.0 Urinary tract,LOW
"K57.30: Diverticulosis of large intestine (chronic condition, ongoing treatment)",MEDIUM
"Intracranial injury, unspecified - acute emergency, rapid response",HIGH
Self-limiting condition due to Contusion of finger,LOW
I26.99 - Pulmonary embolism without acute cor pulmonale,HIGH
"Type 2 diabetes mellitus without complications - uncomfortable episode, managing with meds",MEDIUM
"Severe presentation, urgent care needed due to Acute and subacute hepatic failure",HIGH
"Minor condition, follow-up in 2 weeks due to Urinary tract infection, site not specified",LOW
Suspected Paroxysmal atrial fibrillation,MEDIUM
"Patient presents with Acute upper respiratory infection, unspecified",LOW
confirmed case of benign prostatic hyperplasia without obstruction,MEDIUM
I25.10 - Atherosclerotic heart disease,MEDIUM
"Chronic gingivitis - minor pain, prescribed rest",LOW
"impacted cerumen, unspecified ear",LOW
"assessment: crohn disease, unspecified",MEDIUM
Functional dyspepsia - self-limiting condition,LOW
"G30.9: Alzheimer disease, unspecified (advanced stage, palliative care discussed)",HIGH
"Iron deficiency anemia, unspecified - no acute distress",LOW
"I71.3: Abdominal aortic aneurysm, ruptured (advanced stage, palliative care discussed)",HIGH
"I71.3: Abdominal aortic aneurysm, ruptured (severe trauma protocol active)",HIGH
"Spondylosis with radiculopathy, cervical - needs specialist referral",MEDIUM
Pulmonary embolism without acute cor pulmonale,HIGH
"Malignant neoplasm of unspecified site of breast - advanced stage, palliative care discussed",HIGH
Stable but requires medication adjustment due to Generalized anxiety disorder,MEDIUM
"Abdominal aortic aneurysm, ruptured - fatal prognosis risk",HIGH
"Bacterial infection, unspecified (severe) - life-threatening, immediate intervention",HIGH
history of primary insomnia,LOW
"Acute and subacute hepatic failure - critical condition, ICU admission",HIGH
"Traumatic shock - severe presentation, urgent care needed",HIGH
"Pain in unspecified joint - mild symptoms, no complications",LOW
"Malignant melanoma of skin, unspecified - severe presentation, urgent care needed",HIGH
"patient presents with migraine, unspecified, not intractable",MEDIUM
"B07.9 Viral wart,",LOW
History of Chronic viral hepatitis C,MEDIUM
Assessment: Superficial injury of unspecified body region,LOW
Self-limiting condition due to Dysuria,LOW
"J45.20: Mild intermittent asthma, uncomplicated (chronic condition, ongoing treatment)",MEDIUM
"G30.9: Alzheimer disease, unspecified (critical condition, ICU admission)",HIGH
"Follow-up required in 1 week due to Thyrotoxicosis, unspecified",MEDIUM
"A41.9 - Sepsis, unspecified organism",HIGH
"Chronic condition, ongoing treatment due to Crohn disease, unspecified",MEDIUM
vitamin e problem,LOW
L60.0: Ingrowing nail (routine exam),LOW
J06.9 Acute upper,LOW
"N18.6: End stage renal disease (critical condition, ICU admission)",HIGH
"suspected acute upper respiratory infection, unspecified",LOW
"Life-threatening, immediate intervention due to Disseminated intravascular coagulation",HIGH
"Abdominal aortic aneurysm, ruptured - immediate surgery required",HIGH
Atherosclerotic heart disease - recurring symptoms,MEDIUM
Slight discomfort reported due to Acute nasopharyngitis (common cold),LOW
C95.00 Acute leukemia,HIGH
"M79.3: Panniculitis, unspecified (patient stable, outpatient treatment)",LOW
M79.1 - Myalgia,LOW
patient presents with superficial injury of unspecified body region,LOW
"Minor pain, prescribed rest due to Urticaria, unspecified",LOW
Diverticulosis of large intestine - needs specialist referral,MEDIUM
Malignant neoplasm of prostate - immediate surgery required,HIGH
"Heart failure, unspecified - severe presentation, urgent care needed",HIGH
"Flare-up event due to Thrombocytopenia, unspecified",MEDIUM
"L30.9: Dermatitis, unspecified (self-limiting condition)",LOW
"G40.909: Epilepsy, unspecified, not intractable (recurring symptoms)",MEDIUM
Fatal prognosis risk due to Acute respiratory distress syndrome,HIGH
Type 2 diabetes with hyperglycemia - fatal prognosis risk,HIGH
"Mild symptoms, no complications due to Vitamin E deficiency",LOW
M54.5 - Low back pain,LOW
"Suspected Hydrocephalus, unspecified",HIGH
Fatal prognosis risk due to Pulmonary embolism without acute cor pulmonale,HIGH
"L70.0: Acne vulgaris (minor condition, follow-up in 2 weeks)",LOW
"Minor condition, follow-up in 2 weeks due to Myalgia",LOW
"Minor condition, follow-up in 2 weeks due to Pain in unspecified joint",LOW
"Suspected Intracranial injury, unspecified",HIGH
"Acute pharyngitis, unspecified - self-limiting condition",LOW
M81.0 Age-related osteoporosis,MEDIUM
M77.10: Lateral epicondylitis (routine exam),LOW
"F20.9: Schizophrenia, unspecified (severe presentation, urgent care needed)",HIGH
No acute distress due to Unspecified abdominal pain,LOW
"abdominal aortic aneurysm, ruptured",HIGH
"post-traumatic stress disorder, unspecified",MEDIUM
abdominal aortic problem,HIGH
"J03.90 - Acute tonsillitis, unspecified",LOW
Unspecified abdominal pain - slight discomfort reported,LOW
"Malignant melanoma of skin, unspecified",HIGH
"Type 1 diabetes with ketoacidosis - advanced stage, palliative care discussed",HIGH
"J18.9: Pneumonia, unspecified organism (chronic condition, ongoing treatment)",MEDIUM
Paroxysmal atrial fibrillation,MEDIUM
